name,lats,lons,places,types
{'Музей-заповедник Гоголя '},{'49.8179'},{'34.1706'},{'Миргород'},"{'Активный отдых, Развлечения, Рестораны, кафе'}"
{'Одесский национальный академический театр оперы и балета '},{'46.485'},{'30.7414'},{'Одесса'},"{'История, Монументы и памятники'}"
{'Особняк Либермана '},{'50.4468'},{'30.5297'},{'Киев'},"{'История, Улицы, площади, видовые места'}"
{'Памятник Н.В.Гоголю '},{'49.5851'},{'34.5561'},{'Полтава'},"{'Архитектура, Улицы, площади, видовые места'}"
{'Петропавловский кафедральный костел '},{'48.6769'},{'26.5719'},{'Каменец-Подольский'},"{'Архитектура, История, Религия'}"
{'Полтавский художественный музей '},{'49.5896'},{'34.5554'},{'Полтава'},{'Монументы и памятники'}
{'Приморская лестница в Ильичевске '},{'46.3016'},{'30.6657'},{'Черноморск'},"{'Архитектура, Религия'}"
{'Ровенский зоопарк '},{'50.6103'},{'26.3303'},{'Ровно'},{'Театры и музыка'}
{'Скалодром ShelRocks '},{'46.4602'},{'30.7218'},{'Одесса'},{'Религия'}
{'Усадьба Сакен-Остенов '},{'50.5773'},{'30.108'},{'Киев'},{'История'}
{'Усадьба Терещенко в Денишах '},{'50.2055'},{'28.4135'},{'Житомир'},"{'Архитектура, Религия'}"
{'Харьковский морской музей '},{'49.9992'},{'36.2399'},{'Харьков'},"{'Улицы, площади, видовые места'}"
{'Центральный сквер '},{'47.096'},{'37.5497'},{'Мариуполь'},{'Природа'}
{'Церковь Рождества Пресвятой Богородицы '},{'46.1673'},{'34.8144'},{'Геническ'},{'Природа'}
{'Церковь Святого Николая '},{'49.7933'},{'30.116'},{'Белая Церковь'},"{'Архитектура, Религия'}"
{'Церковь Святой Параскевы Пятницы '},{'49.8518'},{'24.0308'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Чернобыльская АЭС '},{'51.3894'},{'30.0998'},{'Припять'},"{'Архитектура, Религия'}"
{'Львовский театр оперы и балета '},{'49.8441'},{'24.0264'},{'Львов'},"{'Архитектура, Музеи'}"
{'Соляные шахты '},{'48.6961'},{'38.0683'},{'Соледар'},"{'Активный отдых, Природа'}"
{'Черновицкий Национальный Университет им. Ю. Федьковича '},{'48.2976'},{'25.9271'},{'Черновцы'},"{'Рестораны, кафе'}"
{'Центр культуры вина Шабо '},{'46.143'},{'30.3734'},{'Белгород-Днестровский'},"{'Архитектура, История, Музеи'}"
{'Голосеевская пустынь '},{'50.3783'},{'30.5101'},{'Киев'},{'Музеи'}
{'Доминиканский монастырь и собор '},{'49.8437'},{'24.0318'},{'Львов'},"{'Архитектура, Музеи'}"
{'Игровой лаунж-бар Рот '},{'49.9941'},{'36.2312'},{'Харьков'},"{'Архитектура, История, Религия'}"
{'Каменец-Подольская крепость '},{'48.6736'},{'26.5717'},{'Каменец-Подольский'},"{'Архитектура, Музеи'}"
{'Остров Хортица '},{'47.8572'},{'35.0728'},{'Запорожье'},{'Музеи'}
{'Армянский кафедральный собор '},{'49.8433'},{'24.0308'},{'Львов'},"{'История, Музеи, Шоппинг'}"
{'Бирючий остров '},{'46.1267'},{'35.1033'},{'Геническ'},{'Музеи'}
{'Бужский Гард '},{'47.6135'},{'31.2439'},{'Вознесенск'},"{'Активный отдых, Производство, Развлечения'}"
{'Приморский бульвар '},{'46.4882'},{'30.7411'},{'Одесса'},{'Природа'}
{'Скалы Довбуша '},{'49.0439'},{'23.6822'},{'Ивано-Франковск'},"{'Активный отдых, Природа'}"
{'Дерибасовская улица '},{'46.4841'},{'30.7388'},{'Одесса'},{'Музеи'}
{'Национальный ботанический сад им. Н. Н. Гришко НАН Украины '},{'50.4149'},{'30.5628'},{'Киев'},"{'Природа, Развлечения'}"
{'Часовня Боимов '},{'49.8407'},{'24.0303'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Львовская ратуша '},{'49.8417'},{'24.0318'},{'Львов'},"{'Архитектура, История, Музеи'}"
{'Святогорская лавра '},{'49.029'},{'37.5688'},{'Святогорск'},{'Музеи'}
{'Остров Джарылгач '},{'46.0264'},{'32.9431'},{'Скадовск'},"{'Архитектура, История'}"
{'Площадь Рынок '},{'49.8414'},{'24.0316'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Аптека-музей '},{'49.8427'},{'24.0324'},{'Львов'},"{'Рестораны, кафе'}"
{'Бювет минеральных вод №1 '},{'49.2762'},{'23.504'},{'Трускавец'},"{'Архитектура, Религия'}"
{'Дунайский биосферный заповедник '},{'45.4278'},{'29.6337'},{'Вилково'},"{'История, Музеи'}"
{'Золотые ворота '},{'50.4487'},{'30.5133'},{'Киев'},"{'Архитектура, История, Религия'}"
{'Курорт Аркадия '},{'46.4305'},{'30.7657'},{'Одесса'},{'Музеи'}
{'Музей шоколада во Львове '},{'49.8423'},{'24.033'},{'Львов'},{'Архитектура'}
{'Национальный дендрологический парк Софиевка '},{'48.7611'},{'30.236'},{'Умань'},"{'Архитектура, Религия'}"
{'City-Zen cafe&bar '},{'50.455'},{'30.6354'},{'Киев'},{'Монументы и памятники'}
{'ProRock Pub '},{'50.4417'},{'30.5164'},{'Киев'},"{'Рестораны, кафе, Шоппинг'}"
{'Star Burger на Крещатике '},{'50.4511'},{'30.5263'},{'Киев'},{'Музеи'}
{'Бушанский замок '},{'48.334'},{'28.1178'},{'Могилев-Подольский'},"{'Архитектура, История, Религия'}"
{'Винный бар Пьяная вишня '},{'49.8414'},{'24.0326'},{'Львов'},"{'Архитектура, История, Музеи'}"
{'Городской сад '},{'46.4853'},{'30.7345'},{'Одесса'},"{'Архитектура, История'}"
{'Детский город профессий KidsWill '},{'50.3434'},{'30.5463'},{'Киев'},"{'Архитектура, История, Улицы, площади, видовые места'}"
{'Дом с химерами '},{'50.445'},{'30.5286'},{'Киев'},"{'Улицы, площади, видовые места'}"
{'Дом ученых во Львове '},{'49.8411'},{'24.0214'},{'Львов'},"{'Улицы, площади, видовые места'}"
{'Доминиканский монастырь в селе Подкамень '},{'49.9427'},{'25.3305'},{'Золочев'},"{'Архитектура, История, Музеи'}"
{'Зоопарк Мариуполя '},{'47.1164'},{'37.56'},{'Мариуполь'},"{'Улицы, площади, видовые места'}"
{'Кафе Оба-на '},{'47.075'},{'37.523'},{'Мариуполь'},"{'Природа, Развлечения'}"
{'Кафе Чашка '},{'48.2912'},{'25.9331'},{'Черновцы'},{'Экскурсии'}
{'Литературное кафе «Имбирь» Позняки '},{'50.4007'},{'30.6302'},{'Киев'},{'Монументы и памятники'}
{'Музей волынской иконы '},{'50.7481'},{'25.3312'},{'Луцк'},"{'Производство, Экскурсии'}"
{'Музей Контрабанды '},{'46.4862'},{'30.7388'},{'Одесса'},"{'Улицы, площади, видовые места'}"
{'Музей Пирогово '},{'50.3544'},{'30.5112'},{'Киев'},{'Развлечения'}
{'Национальный архитектурно-исторический заповедник Чернигов Древний '},{'51.4891'},{'31.307'},{'Чернигов'},"{'Архитектура, История'}"
{'Одесский зоопарк '},{'46.4657'},{'30.7317'},{'Одесса'},{'Религия'}
{'Памятник Екатерине Великой и основателям Одессы '},{'46.4873'},{'30.7393'},{'Одесса'},{'Архитектура'}
{'Памятник королю Даниле '},{'49.8395'},{'24.0327'},{'Львов'},"{'Рестораны, кафе'}"
{'Пляжный клуб White Beach Bartolomeo '},{'48.4463'},{'35.0788'},{'Днепр'},{'Архитектура'}
{'Поющие террасы '},{'50.1205'},{'35.2262'},{'Харьков'},"{'Архитектура, История'}"
{'Ресторан Крыйивка '},{'49.8413'},{'24.0325'},{'Львов'},"{'Архитектура, История, Музеи'}"
{'Свято-Николаевский собор '},{'48.2911'},{'25.9438'},{'Черновцы'},"{'Улицы, площади, видовые места'}"
{'Свято-Троицкий собор '},{'50.746'},{'25.3259'},{'Луцк'},{'Музеи'}
{'Скульптура Два ангела '},{'50.8929'},{'34.7829'},{'Сумы'},{'Развлечения'}
{'Спасо-Преображенский собор '},{'51.489'},{'31.3078'},{'Чернигов'},"{'Архитектура, История'}"
{'Спасо-Преображенский собор '},{'50.3806'},{'30.4597'},{'Киев'},"{'Архитектура, История, Религия'}"
{'Стамбульский парк '},{'46.4874'},{'30.7434'},{'Одесса'},"{'Архитектура, Улицы, площади, видовые места'}"
{'Сумская Альтанка '},{'50.907'},{'34.7992'},{'Сумы'},"{'История, Религия'}"
{'Театральная площадь '},{'48.2918'},{'25.9312'},{'Черновцы'},{'Экскурсии'}
{'Туристический маршрут Открой для себя Черновцы '},{'48.2928'},{'25.9358'},{'Черновцы'},{'Архитектура'}
{'Черниговский литературно-мемориальный музей-заповедник Михаила Коцюбинского '},{'51.4871'},{'31.2875'},{'Чернигов'},"{'Рестораны, кафе'}"
{'Чиполлино Пицца '},{'50.4668'},{'30.516'},{'Киев'},"{'Архитектура, Религия'}"
{'Потёмкинская лестница '},{'46.4886'},{'30.742'},{'Одесса'},{'Природа'}
{'Ресторан 36 По '},{'49.8424'},{'24.031'},{'Львов'},"{'Архитектура, Музеи'}"
{'Историко-архитектурный комплекс Пассаж '},{'46.484'},{'30.733'},{'Одесса'},"{'Архитектура, История, Религия'}"
{'Рынок Привоз '},{'46.4689'},{'30.7337'},{'Одесса'},{'Музеи'}
{'Шевченковский гай '},{'49.8441'},{'24.066'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Заповедник Аскания-Нова '},{'46.4592'},{'33.8682'},{'Херсон'},"{'История, Производство'}"
{'Центральный парк культуры и отдыха им. М. Горького '},{'50.0205'},{'36.2458'},{'Харьков'},{'Архитектура'}
{'Аквапарк Джунгли '},{'49.9465'},{'36.2833'},{'Харьков'},"{'Активный отдых, Пляжи'}"
{'Кинбурнская коса '},{'46.5459'},{'31.5492'},{'Очаков'},{'Монументы и памятники'}
{'Кофейня Шарлотка '},{'51.4905'},{'31.3007'},{'Чернигов'},"{'Архитектура, Религия'}"
{'Мариупольская мечеть '},{'47.0774'},{'37.5191'},{'Мариуполь'},{'Архитектура'}
{'Пятницкая церковь '},{'51.4925'},{'31.3008'},{'Чернигов'},"{'Архитектура, Религия'}"
{'Цитадель Батуринской крепости '},{'51.3427'},{'32.8873'},{'Бахмач'},{'Музеи'}
{'Фонтан Рошен '},{'49.2327'},{'28.4856'},{'Винница'},"{'Архитектура, История'}"
{'Высокий Замок '},{'49.8422'},{'24.0381'},{'Львов'},{'Архитектура'}
{'Экскурсия Подземные тайны Одессы '},{'46.4778'},{'30.7164'},{'Одесса'},{'Театры и музыка'}
{'Одесский дельфинарий Немо '},{'46.4771'},{'30.7652'},{'Одесса'},"{'Архитектура, История'}"
{'Город Вилково '},{'45.4013'},{'29.5858'},{'Вилково'},"{'История, Музеи'}"
{'Львовская мастерская шоколада '},{'49.2806'},{'23.5048'},{'Трускавец'},"{'Архитектура, Религия'}"
{'Собор Святого Юра '},{'49.8387'},{'24.0134'},{'Львов'},{'Природа'}
{'Антониевы пещеры '},{'51.4776'},{'31.2838'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Георгиевская (Юрьевская) церковь '},{'51.6445'},{'31.566'},{'Седнев'},"{'Улицы, площади, видовые места'}"
{'Луцкий замок '},{'50.7389'},{'25.3233'},{'Луцк'},"{'Архитектура, Религия'}"
{'Меджибожский замок '},{'49.434'},{'27.4166'},{'Хмельницкий'},"{'Архитектура, История, Музеи'}"
{'Музей История Трускавца '},{'49.2777'},{'23.5067'},{'Трускавец'},"{'Архитектура, Природа'}"
{'Парк Александрия '},{'49.8063'},{'30.0614'},{'Белая Церковь'},"{'Архитектура, Шоппинг'}"
{'Певческое поле '},{'50.4303'},{'30.5637'},{'Киев'},"{'Архитектура, Религия'}"
{'Трасса здоровья '},{'46.4719'},{'30.7625'},{'Одесса'},{'Музеи'}
{'Художественный музей Михаила Биласа '},{'49.2801'},{'23.5044'},{'Трускавец'},"{'Архитектура, Религия'}"
{'Алешковские пески '},{'46.5833'},{'33.05'},{'Херсон'},"{'История, Улицы, площади, видовые места'}"
{'Андреевская церковь '},{'50.459'},{'30.518'},{'Киев'},"{'Архитектура, Религия'}"
{'Армянская церковь '},{'48.2888'},{'25.9391'},{'Черновцы'},"{'Архитектура, Улицы, площади, видовые места'}"
{'Архангело-Михайловский Зверинецкий монастырь '},{'50.4213'},{'30.5559'},{'Киев'},{'Монументы и памятники'}
{'Борисоглебский собор '},{'51.4892'},{'31.3069'},{'Чернигов'},"{'Архитектура, История'}"
{'Ботанический сад имени Фомина '},{'50.4432'},{'30.5043'},{'Киев'},"{'Рестораны, кафе'}"
{'Воронцовский дворец '},{'46.4886'},{'30.7388'},{'Одесса'},"{'Улицы, площади, видовые места'}"
{'Голубые озера '},{'51.9652'},{'31.1671'},{'Чернигов'},"{'Архитектура, История'}"
{'Дворец-замок графа Ксидо '},{'49.5552'},{'27.9457'},{'Хмельник'},"{'Архитектура, История'}"
{'Дендропарк Веселые Боковеньки '},{'48.2161'},{'32.8607'},{'Кропивницкий'},{'Архитектура'}
{'Дом с одной стеной '},{'46.4889'},{'30.7386'},{'Одесса'},"{'Монументы и памятники, Улицы, площади, видовые места'}"
{'Дом Фальц-Фейна '},{'46.4898'},{'30.7357'},{'Одесса'},{'Архитектура'}
{'Домик Петра I '},{'50.4655'},{'30.5147'},{'Киев'},{'Музеи'}
{'Екатерининская церковь '},{'51.4871'},{'31.3051'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Здоровенькі були '},{'50.4467'},{'30.5233'},{'Киев'},"{'Архитектура, История'}"
{'Ивано-Франковская ратуша '},{'48.9228'},{'24.7104'},{'Ивано-Франковск'},"{'Архитектура, История'}"
{'Кафедральный собор Святого Духа '},{'48.2878'},{'25.9368'},{'Черновцы'},"{'Рестораны, кафе'}"
{'Коростышевский каньон '},{'50.3155'},{'29.0936'},{'Коростышев'},{'Музеи'}
{'Коса Арабатская стрелка '},{'45.9348'},{'34.8761'},{'Арабатская стрелка'},{'Музеи'}
{'Костел иезуитов '},{'49.8415'},{'24.0292'},{'Львов'},"{'Архитектура, История, Религия'}"
{'Костел кармелитов босых '},{'49.8424'},{'24.037'},{'Львов'},"{'Архитектура, Музеи'}"
{'Латинский собор '},{'49.841'},{'24.0305'},{'Львов'},"{'Архитектура, История, Улицы, площади, видовые места'}"
{'Летний кинотеатр '},{'46.4871'},{'30.741'},{'Одесса'},{'Монументы и памятники'}
{'Луцкий зоопарк '},{'50.7406'},{'25.3379'},{'Луцк'},"{'Архитектура, Музеи'}"
{'Мариупольский городской сад '},{'47.0826'},{'37.5272'},{'Мариуполь'},{'Архитектура'}
{'Музей космонавтики '},{'50.253'},{'28.6776'},{'Житомир'},{'Монументы и памятники'}
{'Одесский Лунапарк '},{'46.4752'},{'30.7554'},{'Одесса'},"{'Архитектура, История'}"
{'Октябрьский гидропарк '},{'49.9596'},{'36.1485'},{'Харьков'},{'Активный отдых'}
{'Памятник А.П. Чехову '},{'50.8982'},{'34.7986'},{'Сумы'},{'Архитектура'}
{'Памятник воинам-освободителям '},{'50.6214'},{'26.2299'},{'Ровно'},"{'Природа, Развлечения'}"
{'Памятник Дюку де Ришелье '},{'46.488'},{'30.7416'},{'Одесса'},{'Природа'}
{'Памятник жене моряка '},{'46.4919'},{'30.7479'},{'Одесса'},"{'Активный отдых, Транспорт'}"
{'Памятник И.Г. Харитоненко '},{'50.9072'},{'34.7981'},{'Сумы'},"{'Архитектура, Музеи'}"
{'Памятник Т. Г. Шевченко '},{'50.9437'},{'34.7842'},{'Сумы'},"{'Архитектура, Природа'}"
{'Памятник трубочисту '},{'49.841'},{'24.0345'},{'Львов'},"{'Архитектура, Религия'}"
{'Парк Киевская Русь '},{'50.1439'},{'30.4715'},{'Обухов'},{'Музеи'}
{'Парк культуры и отдыха им. Т. Г. Шевченко '},{'50.6158'},{'26.2601'},{'Ровно'},"{'Активный отдых, Развлечения, Транспорт'}"
{'Парк культуры и отдыха имени И. Н. Кожедуба '},{'50.8867'},{'34.7869'},{'Сумы'},{'Развлечения'}
{'Парк Лебединое озеро '},{'50.6162'},{'26.246'},{'Ровно'},"{'Природа, Развлечения'}"
{'Покровская площадь '},{'50.9078'},{'34.7972'},{'Сумы'},"{'Архитектура, Музеи'}"
{'Покровская церковь '},{'50.461'},{'30.5189'},{'Киев'},{'Музеи'}
{'Покровская церковь '},{'49.5571'},{'30.0474'},{'Белая Церковь'},"{'Архитектура, Религия'}"
{'Почаевская лавра '},{'50.0054'},{'25.5079'},{'Почаев'},"{'Архитектура, История'}"
{'Работы стрит-арт фестиваля Цветной город '},{'50.9047'},{'34.7993'},{'Сумы'},{'Монументы и памятники'}
{'Развлекательный комплекс Хутор близ Диканьки '},{'49.7854'},{'34.5393'},{'Полтава'},{'Музеи'}
{'Ресторан Антик-Хаус '},{'50.4195'},{'25.7469'},{'Дубно'},"{'Архитектура, Музеи'}"
"{'Ресторан-музей ""Старый млын"" '}",{'49.5598'},{'25.6'},{'Тернополь'},{'Театры и музыка'}
{'Ресторанно-гостиничный комплекс Глухомань с контактным зоопарком '},{'49.5546'},{'34.5875'},{'Полтава'},"{'Архитектура, Религия'}"
{'Ровенский областной украинский музыкально-драматический театр '},{'50.6204'},{'26.246'},{'Ровно'},"{'Природа, Развлечения'}"
{'Сквер имени Богдана Хмельницкого (Чернигов) '},{'51.4928'},{'31.3024'},{'Чернигов'},"{'Архитектура, Религия'}"
{'Соборная улица '},{'50.9102'},{'34.8009'},{'Сумы'},"{'Архитектура, Религия'}"
{'Сумская муниципальная галерея '},{'50.9435'},{'34.7071'},{'Сумы'},"{'Архитектура, Религия'}"
{'Сумской театр драмы и музыкальной комедии им. М.С. Щепкина '},{'50.9049'},{'34.7983'},{'Сумы'},{'Архитектура'}
{'Урочище Каменное Село '},{'51.302'},{'27.978'},{'Коростень'},"{'История, Музеи'}"
{'Усадьба Лизогубов в Седневе '},{'51.65'},{'31.5769'},{'Седнев'},"{'Улицы, площади, видовые места'}"
{'Фонтан Садко '},{'50.9073'},{'34.8009'},{'Сумы'},"{'Архитектура, Религия'}"
{'Храм святой мученицы Татьяны '},{'46.4422'},{'30.7439'},{'Одесса'},{'Музеи'}
{'Центральная площадь Черновцов '},{'48.292'},{'25.9355'},{'Черновцы'},"{'Архитектура, Религия'}"
{'Церковь Николая Притиска '},{'50.465'},{'30.5133'},{'Киев'},"{'Рестораны, кафе'}"
{'Церковь Святого Николая '},{'49.2777'},{'23.5083'},{'Трускавец'},"{'Архитектура, Природа'}"
{'Шахский дворец '},{'46.4908'},{'30.7351'},{'Одесса'},{'Архитектура'}
{'Эйфелева башня в Харькове '},{'49.9898'},{'36.2889'},{'Харьков'},{'Музеи'}
{'Озеро Свитязь '},{'51.501'},{'23.8418'},{'Шацк'},"{'Архитектура, История, Религия'}"
{'Парк Шевченко '},{'46.4785'},{'30.7563'},{'Одесса'},{'Активный отдых'}
{'Историко-культурный комплекс Замок Радомысль '},{'50.4773'},{'29.2169'},{'Радомышль'},{'Музеи'}
{'Дворцово-парковый ансамбль Качановка '},{'50.8376'},{'32.6615'},{'Ичня'},"{'Архитектура, Религия'}"
{'Зоопарк в Демидове 12 месяцев '},{'50.7372'},{'30.2974'},{'Вышгород'},"{'Активный отдых, Развлечения'}"
{'Немышлянский карьер '},{'49.9773'},{'36.3471'},{'Харьков'},"{'Улицы, площади, видовые места'}"
{'Одесский морской порт '},{'46.5036'},{'30.7444'},{'Одесса'},{'Монументы и памятники'}
{'Собор Александра Невского '},{'48.6787'},{'26.5822'},{'Каменец-Подольский'},"{'Архитектура, История'}"
{'Белгород-Днестровская крепость '},{'46.2004'},{'30.3499'},{'Белгород-Днестровский'},"{'Музеи, Производство'}"
{'Хотинская крепость '},{'48.5201'},{'26.4968'},{'Хотин'},"{'Архитектура, Религия'}"
{'Олесский замок '},{'49.9684'},{'24.9007'},{'Львов'},"{'Архитектура, История'}"
{'Пляж Ланжерон '},{'46.4737'},{'30.7637'},{'Одесса'},"{'Архитектура, История'}"
{'Пороховая башня '},{'49.8428'},{'24.0357'},{'Львов'},"{'Архитектура, Религия'}"
{'Черновицкая ратуша '},{'48.2915'},{'25.9346'},{'Черновцы'},"{'Архитектура, Улицы, площади, видовые места'}"
{'Андреевский спуск '},{'50.4599'},{'30.5162'},{'Киев'},"{'История, Улицы, площади, видовые места'}"
{'Белосарайская коса '},{'46.8761'},{'37.3122'},{'Мариуполь'},"{'Улицы, площади, видовые места'}"
{'Бернардинский костел Святого Андрея '},{'49.8394'},{'24.0345'},{'Львов'},{'Монументы и памятники'}
{'Волынский краеведческий музей '},{'50.7504'},{'25.3385'},{'Луцк'},"{'Архитектура, Религия'}"
{'Волынский региональный музей украинского войска и военной техники '},{'50.7499'},{'25.3356'},{'Луцк'},"{'Архитектура, Религия'}"
{'Грот Дианы '},{'46.487'},{'30.7422'},{'Одесса'},"{'Улицы, площади, видовые места'}"
{'Дворец Корнякта '},{'49.8422'},{'24.0327'},{'Львов'},"{'Рестораны, кафе'}"
{'Дендропарк Тростянец '},{'50.79'},{'32.8177'},{'Тростянец (Черниговская обл.)'},"{'Архитектура, История, Религия'}"
{'Джуринский водопад '},{'48.805'},{'25.5878'},{'Тернополь'},"{'Архитектура, Религия'}"
{'Дом-корабль (Шифа) '},{'48.295'},{'25.9368'},{'Черновцы'},"{'Улицы, площади, видовые места'}"
{'Доминиканский монастырь св. Николая '},{'48.6741'},{'26.573'},{'Каменец-Подольский'},"{'Архитектура, Музеи'}"
{'Елецкий монастырь '},{'51.49'},{'31.2906'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Золочевский замок '},{'49.8008'},{'24.9053'},{'Золочев'},"{'Архитектура, История'}"
{'Зоопарк Сафари '},{'46.7329'},{'36.8223'},{'Бердянск'},{'Монументы и памятники'}
{'Киевская детская железная дорога '},{'50.4671'},{'30.4349'},{'Киев'},{'Музеи'}
{'Киевская крепость '},{'50.4344'},{'30.5277'},{'Киев'},"{'Архитектура, Музеи'}"
{'Костел Успения Пресвятой Девы Марии '},{'49.2788'},{'23.5046'},{'Трускавец'},"{'Архитектура, Природа'}"
{'Крепость Хаджибей '},{'46.4833'},{'30.7535'},{'Одесса'},"{'История, Монументы и памятники'}"
{'Лодочная станция Стрелка '},{'49.9852'},{'36.2246'},{'Харьков'},"{'Архитектура, История, Религия'}"
{'Львовский железнодорожный вокзал '},{'49.8397'},{'23.9943'},{'Львов'},"{'Архитектура, Религия'}"
{'Одесский литературный музей '},{'46.485'},{'30.7446'},{'Одесса'},"{'Природа, Развлечения'}"
{'Памятник Сладкоежкам '},{'50.9103'},{'34.7992'},{'Сумы'},"{'Архитектура, Религия'}"
{'Памятник Стиву Джобсу '},{'46.4819'},{'30.7257'},{'Одесса'},"{'Архитектура, История, Религия'}"
{'Памятный знак Сумка '},{'50.9113'},{'34.8003'},{'Сумы'},"{'Улицы, площади, видовые места'}"
{'Парк Болдины горы '},{'51.4789'},{'31.2844'},{'Чернигов'},"{'Архитектура, История, Религия'}"
{'Парк Долина Роз '},{'49.451'},{'32.0651'},{'Черкассы'},{'Монументы и памятники'}
{'Покровская церковь '},{'50.9073'},{'34.7973'},{'Сумы'},"{'Архитектура, Музеи'}"
{'Покровская церковь-крепость '},{'49.1768'},{'26.9321'},{'Сутковцы'},{'Природа'}
{'Поле Сорочинской ярмарки '},{'50.0244'},{'33.9234'},{'Миргород'},{'Музеи'}
{'Посёлок Батурин '},{'51.3497'},{'32.8875'},{'Бахмач'},{'Музеи'}
{'Пушка с фрегата Тигр '},{'46.4862'},{'30.7439'},{'Одесса'},{'Театры и музыка'}
{'Ресторан Два голубца '},{'49.8413'},{'24.0327'},{'Львов'},"{'Архитектура, История, Музеи'}"
{'Ресторан Кафе 1 '},{'49.8405'},{'24.031'},{'Львов'},"{'Архитектура, История, Улицы, площади, видовые места'}"
{'Свято-Воскресенская церковь '},{'51.6427'},{'31.5672'},{'Седнев'},"{'Улицы, площади, видовые места'}"
{'Свято-Воскресенский собор '},{'50.9119'},{'34.8007'},{'Сумы'},{'Монументы и памятники'}
{'Скала-Подольский замок '},{'48.8569'},{'26.1991'},{'Чертков (Чортков)'},{'Природа'}
{'Собор Рождества Богородицы '},{'50.9116'},{'31.1107'},{'Чернигов'},{'Развлечения'}
{'Собор Святых Апостолов Петра и Павла '},{'50.7385'},{'25.3198'},{'Луцк'},"{'Производство, Экскурсии'}"
{'Троицкий костел в Хмельнике '},{'49.5544'},{'27.9476'},{'Хмельник'},"{'Архитектура, История'}"
{'Троицкий собор '},{'51.4774'},{'31.2804'},{'Чернигов'},"{'Архитектура, История, Религия'}"
